origin_id,destination_id,entry_cost,network_co,exit_cost,distance
0,0,,,,
0,17,0.0000000,43831.6348292,0.0000000,43831.6348292
0,18,0.0000000,47297.1486620,0.0000000,47297.1486620
0,20,0.0000000,57187.2054708,0.0000000,57187.2054708
0,21,0.0000000,62282.5535204,0.0000000,62282.5535204
0,23,0.0000000,65457.6715973,0.0000000,65457.6715973
0,24,0.0000000,74641.2508348,0.0000000,74641.2508348
0,25,0.0000000,79538.2214641,0.0000000,79538.2214641
0,29,0.0000000,85721.9675133,0.0000000,85721.9675133
0,30,0.0000000,87851.9542252,0.0000000,87851.9542252
0,31,0.0000000,90999.2161939,0.0000000,90999.2161939
0,32,0.0000000,92575.3791840,0.0000000,92575.3791840
0,33,0.0000000,91294.0749260,0.0000000,91294.0749260
0,35,0.0000000,95332.2505847,0.0000000,95332.2505847
0,36,0.0000000,99911.6498536,0.0000000,99911.6498536
0,38,0.0000000,98128.6552757,39.2041514,98167.8594271
0,39,0.0000000,98658.2003144,0.0000000,98658.2003144
0,40,0.0000000,101212.8728895,0.0000000,101212.8728895
0,48,0.0000000,141390.2161890,0.0000000,141390.2161890
0,52,0.0000000,156874.3869769,0.0000000,156874.3869769
0,53,0.0000000,156439.9747071,0.0000000,156439.9747071
0,54,0.0000000,149955.1004906,0.0000000,149955.1004906
0,57,0.0000000,144114.0288825,0.0000000,144114.0288825
0,58,0.0000000,142179.5105491,0.0000000,142179.5105491
0,60,0.0000000,131040.9296278,0.0000000,131040.9296278
0,61,0.0000000,126890.6210966,0.0000000,126890.6210966
0,62,0.0000000,128520.1545856,0.0000000,128520.1545856
0,63,0.0000000,123610.7313080,0.0000000,123610.7313080
0,64,0.0000000,118903.4726733,0.0000000,118903.4726733
0,66,0.0000000,120329.8053958,0.0000000,120329.8053958
0,67,0.0000000,115054.2775792,0.0000000,115054.2775792
0,68,0.0000000,107697.1866561,0.0000000,107697.1866561
0,69,0.0000000,108230.8745837,0.0000000,108230.8745837
0,77,0.0000000,66882.2385620,0.0000000,66882.2385620
0,82,0.0000000,40655.8732150,9.0872668,40664.9604817
0,83,0.0000000,42885.7977326,0.0000000,42885.7977326
0,84,0.0000000,41963.6691431,67.3401985,42031.0093416
0,85,0.0000000,36158.3225797,0.0000000,36158.3225797
0,86,0.0000000,37208.0406817,0.0000000,37208.0406817
0,87,0.0000000,34676.3471641,0.0000000,34676.3471641
